Date,GOVT,NFLX,NVDA,claim
2021-01-06,-0.003665192932424177,-0.03505782745671027,-0.08116315900780335,0.1331586504129518
2021-01-07,0.003279092567229913,0.055781293305528945,0.11678335721591371,0.07152789743984055
2021-01-08,0.0011006500507781958,-0.01381639966139514,-0.06286971173227696,-0.15454002921112683
2021-01-11,0.0007372897681695578,-0.02510667634608743,0.03100575902868452,-0.0008383849928522256
2021-01-12,0.0007393984743239157,0.012421971185874847,-0.03600543796117062,0.06213359738904805
2021-01-13,0.002589959926255103,0.037112563877979676,0.013524700824273483,-0.07200855607188969
2021-01-14,-0.0040659531584178454,-0.04104247964295937,-0.02798365795042157,0.026551158569211954
2021-01-15,0.0025845306146777824,0.007897360562064581,-0.0013157250372997087,0.010854852571496945
2021-01-19,-0.00037023076922459985,0.013360761925892972,0.03870335079683551,0.0004291430934033236
2021-01-20,-0.00036942565389708193,0.16093273249673112,0.013251840766565381,-0.017460021059294128
2021-01-21,-0.0018436359062404817,-0.179629153301071,0.011399008524338061,0.043302618995359796
2021-01-22,0.0022131839556404076,-0.014214439722117556,-0.048717798969559745,0.12030373738122119
2021-01-25,0.002951666553951071,0.010455148167544004,0.00685681509828362,-0.09650656705167633
2021-01-26,-0.004425490981790459,0.02409455682218653,-0.011646399480855552,0.1028274077982704
2021-01-27,0.0018389639004423586,-0.07803029231521796,-0.022550990158418327,0.02286301301246597
2021-01-28,-0.0029409711191094035,0.09805750942218239,0.04883328180997326,0.04451376128303479
2021-01-29,0.00036466996551709485,-0.040806585008379304,-0.015008166670691159,-0.11366022118310443
2021-02-01,0.0022476890087791412,0.02402059435902315,0.023726839677111533,0.01351368784486355
2021-02-02,-0.0029872850883211344,0.004428184634869936,0.005121951035437,0.14845370018365828
2021-02-03,-0.00037478193504170143,-0.032808409508824576,-0.026092195273362484,-0.10798048857852763
2021-02-04,0.001846341356525949,0.03945041226698254,0.01182150551268013,-0.19777282806579072
2021-02-05,-0.0007426205355778315,-0.026042117599316628,-0.015245880657892008,-0.17433722958989073
2021-02-08,0.0018548259624983077,-0.0027295325474238075,0.06773654353137226,0.0266070164000551
2021-02-09,0.0003710848943814238,0.025560419982723404,-0.07453055344121784,0.2384967330711097
